policy,total_cost,shortage_units,excess_units,fill_rate,shortage_week_fraction,mean_stock_target
mean4,356923.00000000,74587.00000000,58575.00000000,0.67322091,0.43538462,326.51846154
mean4_tuned,323363.00000000,57265.00000000,94303.00000000,0.74911172,0.31846154,408.13384615
point,398997.00000000,91975.00000000,31097.00000000,0.59704095,0.46923077,257.49384615
point_tuned,331448.00000000,61760.00000000,84408.00000000,0.72941831,0.28307692,385.99538462
quantile_80,309211.00000000,42614.00000000,138755.00000000,0.81330039,0.18461538,499.06153846
